Timing info

         851863 function calls (849405 primitive calls) in 22.520 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.008    0.008    0.019    0.019 ctypeslib.py:51(<module>)
        1    0.018    0.018    0.019    0.019 polynomial.py:55(<module>)
      118    0.004    0.000    0.018    0.000 six.py:209(exec_)
        1    0.012    0.012    0.018    0.018 BmpImagePlugin.py:27(<module>)
      256    0.017    0.000    0.018    0.000 BasicFunctions.py:130(drawRectangle)
    18418    0.009    0.000    0.018    0.000 base.py:865(isspmatrix)
        6    0.000    0.000    0.017    0.003 __init__.py:1055(rc_params_from_file)
        1    0.012    0.012    0.017    0.017 unsupervised.py:1(<module>)
        1    0.000    0.000    0.017    0.017 font_manager.py:955(pickle_load)
        1    0.017    0.017    0.017    0.017 matfuncs.py:5(<module>)
        1    0.001    0.001    0.017    0.017 thresholding.py:1(<module>)
        1    0.000    0.000    0.017    0.017 __init__.py:943(rc_params)
        1    0.008    0.008    0.017    0.017 pool.py:35(<module>)
        1    0.003    0.003    0.016    0.016 tokenize.py:23(<module>)
        1    0.000    0.000    0.016    0.016 _discrete_distns.py:5(<module>)
        1    0.016    0.016    0.016    0.016 fitpack.py:23(<module>)
        1    0.016    0.016    0.016    0.016 lil.py:2(<module>)
106186/105831    0.016    0.000    0.016    0.000 {len}
     1325    0.001    0.000    0.016    0.000 Queue.py:184(get_nowait)
       13    0.000    0.000    0.016    0.001 _distn_infrastructure.py:2559(__init__)
        1    0.012    0.012    0.015    0.015 lines.py:4(<module>)
        1    0.001    0.001    0.015    0.015 pyparsing.py:58(<module>)
        1    0.013    0.013    0.015    0.015 cbook.py:7(<module>)
   686/91    0.006    0.000    0.015    0.000 sre_compile.py:64(_compile)
     2028    0.003    0.000    0.015    0.000 fromnumeric.py:1772(any)
        1    0.010    0.010    0.015    0.015 collections.py:1(<module>)
        1    0.014    0.014    0.015    0.015 mimetools.py:1(<module>)
     6412    0.007    0.000    0.015    0.000 numeric.py:394(asarray)
     1325    0.005    0.000    0.014    0.000 Queue.py:150(get)
        6    0.014    0.002    0.014    0.002 {method 'close' of 'file' objects}
        6    0.001    0.000    0.014    0.002 __init__.py:988(_rc_params_in_file)
        1    0.014    0.014    0.014    0.014 backend_macosx.py:1(<module>)
        1    0.008    0.008    0.014    0.014 __init__.py:65(<module>)
     6436    0.014    0.000    0.014    0.000 {method 'expandtabs' of 'str' objects}
        4    0.000    0.000    0.013    0.003 __init__.py:580(_get_config_or_cache_dir)
    81339    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
        1    0.009    0.009    0.013    0.013 optimize.py:17(<module>)
        4    0.000    0.000    0.013    0.003 __init__.py:220(_is_writable_dir)
        1    0.013    0.013    0.013    0.013 lapack.py:217(<module>)
       11    0.004    0.000    0.013    0.001 artist.py:957(_get_setters_and_targets)
       34    0.000    0.000    0.013    0.000 {map}
        1    0.006    0.006    0.012    0.012 patches.py:3(<module>)
        1    0.012    0.012    0.012    0.012 _percentile.py:23(<module>)
        1    0.004    0.004    0.012    0.012 _regionprops.py:2(<module>)
        1    0.011    0.011    0.012    0.012 afm.py:34(<module>)
        1    0.005    0.005    0.012    0.012 __init__.py:192(Semaphore)
        1    0.011    0.011    0.012    0.012 __init__.py:44(<module>)
        1    0.001    0.001    0.012    0.012 _internal.py:6(<module>)
     6445    0.011    0.000    0.011    0.000 {method 'splitlines' of 'str' objects}
      840    0.003    0.000    0.011    0.000 inspect.py:804(getargspec)
    11345    0.011    0.000    0.011    0.000 {method 'acquire' of 'thread.lock' objects}
        1    0.007    0.007    0.011    0.011 filters.py:31(<module>)
        1    0.008    0.008    0.011    0.011 mlab.py:176(<module>)
        1    0.009    0.009    0.011    0.011 axis.py:3(<module>)
       12    0.000    0.000    0.010    0.001 __init__.py:974(_open_file_or_url)
        6    0.000    0.000    0.010    0.002 contextlib.py:15(__enter__)
       15    0.008    0.001    0.010    0.001 collections.py:293(namedtuple)
        1    0.010    0.010    0.010    0.010 socket.py:45(<module>)
        1    0.010    0.010    0.010    0.010 unwrap.py:1(<module>)
       18    0.010    0.001    0.010    0.001 {method 'astype' of 'numpy.ndarray' objects}
      129    0.002    0.000    0.009    0.000 Queue.py:26(__init__)
     5008    0.005    0.000    0.009    0.000 threading.py:300(_is_owned)
        1    0.009    0.009    0.009    0.009 _distn_infrastructure.py:5(<module>)
        1    0.009    0.009    0.009    0.009 lbfgsb.py:9(<module>)
        1    0.009    0.009    0.009    0.009 draw.py:2(<module>)
     2028    0.001    0.000    0.009    0.000 {method 'any' of 'numpy.ndarray' objects}
     2322    0.004    0.000    0.009    0.000 type_check.py:237(iscomplexobj)
     2322    0.006    0.000    0.009    0.000 _ni_support.py:55(_normalize_sequence)
      128    0.009    0.000    0.009    0.000 FindEyes.py:288(printClusterScores)
        1    0.001    0.001    0.009    0.009 decimal.py:116(<module>)
     3683    0.006    0.000    0.009    0.000 validation.py:488(warn_if_not_float)
        1    0.008    0.008    0.009    0.009 coordinate_descent.py:8(<module>)
     3792    0.002    0.000    0.008    0.000 sre_parse.py:212(get)
        1    0.008    0.008    0.008    0.008 result.py:1(<module>)
        1    0.004    0.004    0.008    0.008 main.py:1(<module>)
    14/10    0.000    0.000    0.008    0.001 __init__.py:324(wrapper)
        1    0.008    0.008    0.008    0.008 slsqp.py:14(<module>)
        1    0.008    0.008    0.008    0.008 {cPickle.dump}
        1    0.004    0.004    0.008    0.008 pool.py:722(ThreadPool)
     5673    0.008    0.000    0.008    0.000 FindEyes.py:320(isValid)
        1    0.005    0.005    0.008    0.008 lpi_filter.py:4(<module>)
      109    0.002    0.000    0.008    0.000 abc.py:86(__new__)
     3682    0.003    0.000    0.008    0.000 Queue.py:224(_put)
     1581    0.002    0.000    0.008    0.000 FindEyes.py:295(isDone)
        1    0.008    0.008    0.008    0.008 bilateral.py:24(<module>)
     7367    0.008    0.000    0.008    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.008    0.004 __init__.py:640(_get_cachedir)
        2    0.008    0.004    0.008    0.004 __init__.py:10(<module>)
        1    0.000    0.000    0.008    0.008 core.py:1(<module>)
     2028    0.001    0.000    0.008    0.000 _methods.py:37(_any)
       16    0.000    0.000    0.007    0.000 pyparsing.py:1812(__init__)
      498    0.001    0.000    0.007    0.000 __init__.py:851(__setitem__)
        1    0.007    0.007    0.007    0.007 basic.py:3(<module>)
        1    0.004    0.004    0.007    0.007 grid_search.py:4(<module>)
      389    0.001    0.000    0.007    0.000 threading.py:242(Condition)
        2    0.007    0.003    0.007    0.004 __init__.py:9(<module>)
        1    0.007    0.007    0.007    0.007 radon_transform.py:15(<module>)
     4456    0.006    0.000    0.007    0.000 sre_parse.py:193(__next)
        1    0.003    0.003    0.007    0.007 binary.py:3(<module>)
        1    0.007    0.007    0.007    0.007 morestats.py:5(<module>)
        1    0.005    0.005    0.006    0.006 numerictypes.py:82(<module>)
        1    0.006    0.006    0.006    0.006 convex_hull.py:1(<module>)
        1    0.006    0.006    0.006    0.006 synchronize.py:36(<module>)
       11    0.000    0.000    0.006    0.001 artist.py:883(__init__)
        1    0.006    0.006    0.006    0.006 quadpack.py:3(<module>)
        1    0.006    0.006    0.006    0.006 _marching_cubes.py:1(<module>)
       11    0.003    0.000    0.006    0.001 artist.py:901(get_aliases)
        1    0.005    0.005    0.006    0.006 class_weight.py:5(<module>)
        1    0.006    0.006    0.006    0.006 linalg.py:10(<module>)
        1    0.000    0.000    0.006    0.006 core.py:91(load_base_library)
        1    0.000    0.000    0.006    0.006 core.py:123(read_style_directory)
     1837    0.005    0.000    0.006    0.000 FindEyes.py:279(getBigClusters)
      840    0.004    0.000    0.006    0.000 inspect.py:744(getargs)
        1    0.006    0.006    0.006    0.006 ranking.py:8(<module>)
        1    0.006    0.006    0.006    0.006 supervised.py:5(<module>)
      389    0.005    0.000    0.006    0.000 threading.py:260(__init__)
        1    0.006    0.006    0.006    0.006 odepack.py:2(<module>)
        1    0.000    0.000    0.006    0.006 text.py:3(<module>)
      263    0.001    0.000    0.006    0.000 sre_compile.py:228(_compile_charset)
        2    0.000    0.000    0.006    0.003 __init__.py:615(_get_configdir)
        8    0.000    0.000    0.006    0.001 __init__.py:840(__init__)
        1    0.005    0.005    0.006    0.006 univariate_selection.py:1(<module>)
        1    0.005    0.005    0.006    0.006 io.py:34(<module>)
       91    0.001    0.000    0.006    0.000 sre_compile.py:433(_compile_info)
     3682    0.006    0.000    0.006    0.000 {_heapq.heappush}
      184    0.001    0.000    0.006    0.000 cbook.py:1118(dedent)
        1    0.005    0.005    0.005    0.005 ImagePalette.py:19(<module>)
        1    0.004    0.004    0.005    0.005 pydoc.py:36(<module>)
        1    0.005    0.005    0.005    0.005 _moments.py:2(<module>)
        1    0.002    0.002    0.005    0.005 decoder.py:2(<module>)
        1    0.005    0.005    0.005    0.005 heapq.py:31(<module>)
        1    0.000    0.000    0.005    0.005 texmanager.py:35(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:724(matplotlib_fname)
        1    0.000    0.000    0.005    0.005 texmanager.py:89(TexManager)
      174    0.000    0.000    0.005    0.000 docstring.py:94(dedent)
        1    0.005    0.005    0.005    0.005 cobyla.py:11(<module>)
        1    0.005    0.005    0.005    0.005 bicluster.py:1(<module>)
      129    0.003    0.000    0.005    0.000 BasicFunctions.py:51(sobelX_mask)
      409    0.001    0.000    0.005    0.000 artist.py:929(get_valid_values)
        1    0.005    0.005    0.005    0.005 pairwise.py:12(<module>)
        1    0.005    0.005    0.005    0.005 non_local_means.py:1(<module>)
       14    0.000    0.000    0.005    0.000 pyparsing.py:1084(parseString)
        2    0.004    0.002    0.005    0.002 _version.py:7(<module>)
      144    0.001    0.000    0.005    0.000 cm.py:64(_generate_cmap)
     9550    0.005    0.000    0.005    0.000 {getattr}
        1    0.005    0.005    0.005    0.005 kde.py:20(<module>)
        1    0.005    0.005    0.005    0.005 linesearch.py:13(<module>)
        1    0.004    0.004    0.005    0.005 label.py:9(<module>)
      263    0.003    0.000    0.005    0.000 sre_compile.py:256(_optimize_charset)
        1    0.005    0.005    0.005    0.005 _denoise.py:2(<module>)
        1    0.005    0.005    0.005    0.005 {cv2.destroyAllWindows}
        1    0.005    0.005    0.005    0.005 extmath.py:3(<module>)
   302/14    0.002    0.000    0.005    0.000 pyparsing.py:957(_parseNoCache)
